crashedAt,totalBankUsd,usersCount,itemsCount
20.50,52.62,20,23
1.21,108.06,20,32
1.08,64.82,29,39
1.33,88.70,27,33
1.39,53.12,25,41
5.43,75.74,29,34
1.26,68.07,32,39
3.95,113.08,30,34
1.05,39.69,26,26
1.34,136.13,32,38
1.25,39.02,25,25
1.28,122.82,31,36
1.29,51.18,28,36
3.00,64.53,26,28
8.57,34.19,22,27
1.07,139.98,32,39
45.70,38.07,28,31
1.49,85.99,24,27
2.14,53.42,27,31
1.22,76.55,30,35
1.06,48.66,26,27
2.09,55.63,31,35
3.51,61.66,31,34
12.91,57.28,28,34
1.29,48.23,25,28
8.14,60.42,25,30
1.87,61.51,25,25
1.08,86.08,26,30
1.03,62.00,30,34
1.83,97.09,36,45
1.22,73.34,30,31
8.80,75.46,30,37
4.64,42.87,26,31
33.68,62.82,21,24
1.55,28.16,25,28
1.60,61.76,24,25
1.58,43.16,24,25
2.32,64.01,21,22
1.30,46.11,25,28
3.05,42.16,23,27
2.73,72.39,26,32
1.10,61.87,20,24
1.52,49.32,28,32
5.88,55.75,23,29
12.98,35.61,22,25
1.25,33.35,27,32
1.05,38.66,22,27
2.63,47.81,29,36
5.44,73.09,26,26
1.31,43.46,20,20
2.25,72.94,30,31
1.06,38.01,27,31
3.43,95.88,31,34
1.05,45.91,30,37
4.74,68.38,33,37
1.22,45.46,23,27
84.66,93.59,31,37
1.32,36.78,26,33
7.82,56.73,23,24
2.21,14.18,23,24
6.38,82.41,29,35
3.97,37.84,24,31
2.50,91.55,20,24
1.10,16.07,18,18
1.60,66.01,30,33
1.33,13.44,20,24
2.46,84.85,32,34
1.08,43.11,25,27
3.46,93.83,30,43
1.10,33.84,20,22
2.15,145.40,35,38
2.59,74.95,26,29
3.32,87.26,25,30
5.91,36.73,19,22
3.87,104.26,21,24
2.99,52.65,23,29
12.55,116.74,24,28
1.08,36.76,27,30
2.02,141.03,28,32
1.09,32.61,24,33
3.12,119.52,31,38
1.06,18.10,16,17
3.37,129.43,32,36
1.52,27.39,21,27
2.05,166.24,35,42
1.22,46.83,24,26
3.60,145.97,30,35
1.07,47.18,24,33
2.09,134.60,33,38
1.31,64.75,30,34
1.01,130.08,28,33
1.24,46.73,29,34
1.39,127.28,33,38
1.07,42.46,28,33
2.49,147.73,36,46
5.72,62.13,25,28
1.47,157.44,30,35
3.32,34.77,22,23
2.52,155.52,27,32
1.24,20.45,16,17
1.00,162.68,29,36
7.53,199.67,31,39
1.65,158.98,24,26
1.56,45.05,23,29
3.85,123.46,29,30
1.06,28.98,19,21
1.13,145.18,30,36
1.06,83.80,30,36
1.31,343.57,37,49
63.58,85.81,27,32
2.04,113.11,30,32
1.66,51.59,22,27
2.22,182.36,34,40
1.54,45.67,19,22
4.76,206.60,33,37
1.20,62.95,18,26
4.61,177.23,30,37
32.17,65.92,23,26
2.84,135.11,23,29
1.12,42.04,21,29
1.24,170.48,26,30
2.49,48.52,22,29
5.07,127.34,26,35
2.08,52.53,18,21
1.86,209.96,26,35
2.35,25.67,22,24
1.40,144.39,27,36
1.51,54.49,23,27
1.77,187.46,28,35
1.79,57.88,25,28
3.98,164.12,30,39
1.80,43.57,17,21
1.87,180.64,36,41
3.09,61.76,21,22
1.26,161.87,30,42
1.39,72.77,27,31
1.14,160.52,32,41
4.78,98.48,33,39
2.92,153.66,29,38
1.76,48.16,26,35
1.80,201.42,34,41
1.55,88.42,30,36
1.46,157.00,35,43
1.10,48.06,30,41
1.07,198.59,41,50
5.50,82.96,29,44
1.49,170.05,33,42
1.38,52.72,29,36
1.29,199.31,39,48
1.25,53.86,26,36
1.13,237.62,37,41
1.28,92.52,28,34
1.71,319.23,41,47
1.38,199.42,28,42
1.15,187.10,33,52
13.71,68.47,23,29
1.24,187.51,31,37
5.29,21.90,14,14
4.61,145.76,27,35
2.70,23.38,18,18
1.22,201.92,25,36
2.04,19.54,16,18
4.26,176.67,23,26
2.26,17.18,14,15
58.27,191.92,22,24
5.36,31.07,12,13
1.18,185.41,25,28
1.54,20.62,14,14
1.73,207.27,31,37
7.22,37.94,23,25
1.38,161.90,25,26
13.29,42.49,18,18
1.75,168.17,25,29
1.79,44.68,21,21
2.79,177.38,28,31
7.62,36.13,21,23
4.14,214.30,29,32
3.60,28.56,17,20
8.53,209.80,28,32
15.43,13.67,19,20
1.00,175.29,30,35
1.49,46.33,29,31
1.09,230.76,34,38
2.15,44.00,29,33
1.04,215.70,36,43
1.28,54.98,34,41
13.04,179.53,36,40
1.23,17.45,21,22
1.08,204.26,33,37
1.50,55.85,28,30
1.97,258.31,33,36
17.86,29.82,17,17
1.52,216.07,31,36
3.42,28.60,20,21
1.70,178.38,30,32
1.03,25.90,19,20
2.10,165.83,32,41
1.29,27.37,22,25
2.15,214.64,26,29
5.04,46.63,17,17
3.74,206.15,29,36
13.44,50.61,20,20
2.96,156.18,27,31
1.22,34.89,21,21
1.08,189.76,25,30
2.66,69.27,25,27
1.32,161.27,26,30
2.45,37.67,18,21
1.19,121.77,26,32
1.36,58.31,26,28
1.54,148.83,39,42
7.49,51.27,27,29
1.05,160.93,27,31
1.24,45.49,25,28
4.23,142.24,31,34
1.73,40.28,20,22
2.13,141.37,25,30
1.01,36.67,17,18
1.78,110.28,28,30
1.31,40.33,20,23
2.93,152.01,31,38
1.24,29.48,22,23
7.53,126.59,26,32
1.27,39.58,18,18
1.11,139.24,24,25
2.16,64.72,25,27
1.17,102.08,28,33
137.13,97.55,29,32
2.24,177.65,29,35
2.06,32.24,24,28
1.28,139.83,28,30
1.02,34.75,22,24
1.02,201.62,44,53
9.17,106.41,39,41
1.00,207.43,36,42
2.32,217.83,37,43
1.37,195.92,35,41
1.38,179.57,27,27
1.26,203.20,37,41
1.23,69.36,27,34
1.63,118.60,31,33
2.22,86.39,29,33
2.13,108.13,34,45
7.48,45.81,24,24
1.32,122.18,26,30
2.09,55.95,27,30
8.69,131.10,32,41
1.04,35.85,22,23
3.57,121.37,31,35
1.50,32.31,25,33
54.83,153.10,34,36
2.09,32.26,23,24
1.31,103.04,28,29
2.27,40.27,21,22
13.90,100.59,29,30
1.34,22.36,19,21
3.17,106.57,26,31
6.34,21.85,21,24
3.76,117.99,26,31
1.94,20.40,22,22
2.89,137.71,29,35
10.19,43.38,27,31
1.02,103.19,29,30
3.93,69.46,33,35
1.03,141.80,35,42
1.45,89.36,37,47
1.03,108.35,32,36
7.99,73.94,35,39
1.44,139.22,32,38
1.07,63.50,33,35
2.07,189.21,38,47
2.11,163.58,35,39
2.28,140.92,29,38
4.91,46.12,29,31
6.14,105.97,28,29
2.19,53.18,24,26
1.28,102.99,25,31
1.24,46.31,22,26
2.01,121.32,32,39
3.49,27.56,24,26
1.02,130.57,35,39
1.25,53.00,30,33
1.07,175.05,39,50
2.35,107.43,39,45
4.26,136.48,44,48
1.57,53.39,32,33
1.41,126.97,33,38
11.55,55.18,34,35
1.78,154.60,35,39
4.04,38.66,19,19
3.19,97.48,27,29
10.20,52.05,28,32
1.33,85.57,35,40
2.39,46.24,28,30
5.67,121.37,29,34
1.05,51.97,22,25
3.18,139.55,36,39
6.45,103.39,36,37
3.07,89.17,30,38
1.63,81.39,32,37
1.03,139.31,34,35
1.45,111.19,39,48
1.08,307.58,39,46
1.46,133.43,35,40
6.12,203.73,46,59
3.29,88.85,35,40
1.16,240.35,42,50
5.01,74.07,37,40
12.92,174.97,42,45
1.61,63.42,26,28
1.84,156.72,37,39
1.11,127.00,38,43
1.05,206.08,43,47
35.50,132.13,48,57
11.86,141.57,41,46
1.13,70.65,28,32
1.00,204.51,39,44
7.61,186.04,49,52
1.08,233.93,50,55
1.26,104.77,45,48
1.00,318.11,51,60
1.01,234.57,48,59
2.48,340.80,51,60
3.63,105.81,33,36
4.40,214.63,44,48
1.51,84.86,30,31
1.44,195.87,37,41
2.80,88.69,28,31
1.21,192.80,37,50
2.61,145.70,32,41
1.22,240.56,35,48
3.09,73.23,29,29
3.25,255.16,45,51
1.00,97.61,26,26
2.11,223.94,37,44
9.27,63.51,31,40
6.30,200.49,35,45
3.43,52.82,25,28
1.13,252.10,32,40
3.46,84.98,32,36
1.40,245.98,38,50
1.09,126.05,27,27
2.03,251.25,43,45
1.74,119.30,34,36
3.77,216.31,40,49
1.15,126.01,33,39
7.42,231.36,38,42
1.00,88.12,27,31
6.60,276.72,50,60
4.53,46.67,29,32
2.90,358.94,40,44
1.34,118.73,27,28
6.22,237.95,38,43
4.19,86.55,27,37
2.88,191.76,29,35
7.17,143.70,25,26
10.19,163.06,32,36
5.96,75.67,26,31
1.31,237.31,32,34
1.21,88.38,31,38
3.78,258.83,33,47
1.22,72.18,34,39
1.08,331.99,37,42
3.05,146.85,37,42
1.29,284.14,42,50
2.23,99.11,33,44
1.09,206.43,40,53
1.41,162.25,37,44
1.46,258.98,42,49
250.80,109.40,31,34
1.18,232.18,32,45
8.73,103.95,37,40
1.04,196.92,33,35
1.99,107.05,39,47
3.61,205.27,34,48
2.88,92.68,31,35
1.35,170.00,34,40
2.25,106.69,31,35
6.17,193.71,38,47
2.88,52.96,24,25
6.24,237.53,40,48
1.10,91.77,29,31
1.91,274.98,45,51
1.08,91.72,31,31
4.66,305.74,52,60
1.42,87.66,27,36
1.15,305.93,40,45
7.72,217.17,47,49
1.96,208.26,48,54
1.44,75.88,31,43
3.03,181.42,43,50
1.56,102.70,27,36
3.78,218.43,39,47
1.28,113.81,28,36
1.31,225.84,34,40
5.52,129.13,30,35
1.64,176.56,29,32
1.00,80.37,27,34
2.05,266.56,42,53
2.45,92.21,25,31
11.32,221.83,42,45
1.02,67.90,22,27
1.56,219.38,39,45
1.06,128.78,33,40
3.40,255.77,53,67
8.51,91.81,32,39
1.34,186.50,39,46
1.00,92.33,29,31
1.27,267.62,45,54
1.58,132.13,40,48
2.91,228.96,40,47
1.44,77.66,30,33
4.10,158.09,39,42
1.51,86.45,28,42
1.15,198.24,37,37
1.81,125.69,40,52
13.11,228.69,36,38
1.01,81.81,29,37
4.59,225.19,47,53
1.08,104.26,31,35
1.79,210.45,48,66
1.25,158.34,38,53
1.34,180.49,40,47
61.99,145.98,36,41
1.34,169.86,32,38
6.64,122.94,28,34
1.41,166.54,30,32
1.06,126.91,31,42
1.06,211.31,40,46
2.52,198.24,48,65
2.14,233.16,46,65
1.25,188.53,43,46
3.12,207.62,39,42
1.88,134.68,28,30
1.28,200.69,35,37
2.24,151.25,37,52
1.53,161.78,35,52
3.18,139.64,27,36
3.92,182.44,37,42
1.08,95.68,28,29
1.31,181.19,37,42
4.26,128.96,43,52
1.24,181.50,41,48
7.54,102.04,36,48
5.84,167.96,36,40
1.25,85.56,26,30
9.63,174.37,27,34
1.02,75.51,30,31
2.11,177.48,37,49
1.33,110.30,27,31
1.37,268.38,43,62
1.38,182.41,37,45
1.30,252.25,44,49
4.13,226.86,39,51
1.04,163.52,43,47
2.04,110.64,40,48
1.23,225.51,46,50
2.48,142.51,44,51
1.07,127.21,39,44
32.73,148.20,50,58
2.00,117.27,34,36
7.23,109.35,36,44
4.29,174.80,34,36
1.04,92.98,30,36
1.22,137.50,38,47
1.04,183.99,42,48
1.36,246.60,47,59
8.06,209.95,42,46
3.49,154.37,44,59
2.10,121.18,38,51
1.22,140.36,44,48
1.86,126.43,45,53
1.81,177.19,46,56
1.47,173.83,47,53
2.23,234.68,44,52
3.79,94.56,34,37
1.07,133.36,37,47
61.96,189.13,55,60
1.68,119.54,40,47
3.36,144.13,39,51
1.31,85.02,30,40
2.70,169.91,42,55
199.36,105.65,35,42
1.71,74.55,48,54
2.02,128.00,46,58
1.01,143.17,42,44
1.86,121.08,51,53
3.34,172.94,64,69
2.57,126.89,54,58
1.22,156.29,59,62
3.36,155.29,52,61
3.47,165.25,52,63
1.07,158.08,45,49
1.50,137.89,64,67
31.92,236.63,61,65
1.91,179.09,45,52
2.34,124.62,40,45
3.06,151.33,55,63
3.43,122.33,40,43
1.00,168.10,43,48
3.03,205.62,55,63
1.29,188.61,54,62
5.54,240.26,58,77
6.52,179.49,40,48
1.40,180.00,42,46
1.03,183.84,36,40
1.37,252.82,62,83
1.24,261.95,51,57
1.80,261.85,59,70
2.11,214.43,48,57
1.28,240.78,43,49
1.38,235.19,52,62
2.08,194.87,41,47
2.11,124.43,40,45
2.62,162.67,43,48
5.25,174.01,41,46
3.13,173.91,43,54
6.43,113.69,42,50
3.35,157.17,35,44
1.01,190.32,47,55
1.02,179.72,53,55
1.35,331.96,74,82
2.57,275.55,63,67
2.59,192.05,59,68
1.27,225.79,59,67
6.06,197.76,49,55
2.91,197.25,40,45
3.19,142.29,44,51
1.03,171.74,41,51
1.07,157.87,49,55
1.04,314.53,64,70
3.27,446.07,85,106
1.06,261.52,77,90
1.12,465.68,72,87
2.10,381.43,73,102
6.15,284.15,68,74
1.71,162.69,52,57
1.28,197.75,55,69
2.78,232.86,51,58
1.06,233.53,51,62
1.00,214.26,54,64
98.19,343.63,68,85
3.51,193.02,42,50
1.72,217.97,45,58
1.43,183.64,43,51
1.19,167.56,43,52
25.09,241.68,53,61
1.59,186.56,44,54
2.68,153.96,44,51
6.58,154.44,45,48
3.44,182.22,33,41
2.84,185.96,45,59
1.76,143.96,34,39
1.44,173.21,45,48
3.17,129.82,38,47
2.37,243.41,46,54
3.02,172.03,42,48
1.31,231.11,39,44
1.75,143.10,43,50
1.26,241.39,50,58
1.52,222.45,47,53
2.72,197.65,57,67
4.14,220.29,43,49
2.40,210.79,40,54
5.98,184.72,44,54
1.23,215.84,44,52
1.02,190.36,38,47
37.18,218.78,40,49
1.16,176.87,53,62
1.03,300.53,63,77
2.12,292.75,59,62
3.57,278.27,52,62
65.20,149.52,44,52
2.02,260.45,44,58
1.06,176.61,38,43
1.00,291.01,49,57
3.36,288.22,67,77
1.85,273.11,63,76
1.35,235.62,54,60
1.31,247.52,54,63
1.43,252.31,54,67
1.35,249.69,56,72
5.86,249.74,60,83
4.49,205.21,35,44
2.02,190.25,39,43
5.77,179.61,46,51
1.94,121.60,39,41
6.00,233.19,49,66
1.52,105.36,37,48
2.21,203.54,35,43
1.68,108.32,33,40
1.02,211.54,49,76
1.01,181.95,45,50
1.36,363.69,70,87
11.34,318.65,63,82
1.46,177.70,47,62
1.91,161.62,41,54
2.75,270.74,50,54
1.65,123.25,42,48
1.30,293.84,58,78
1.86,231.19,53,62
1.93,159.83,42,55
3.02,185.63,44,51
3.22,167.69,39,45
2.19,234.97,44,51
2.16,142.48,41,46
3.09,181.15,39,41
3.33,186.54,43,47
2.22,200.58,39,42
1.62,192.81,44,50
1.02,159.07,37,46
1.75,239.18,46,52
1.22,263.48,55,60
1.35,201.99,64,77
2.13,182.41,64,78
1.39,187.97,57,69
2.38,217.53,43,47
2.83,217.62,48,60
2.75,90.18,36,44
2.13,187.09,44,50
1.26,96.00,38,41
1.38,152.71,43,69
1.52,114.81,40,42
24.32,146.98,46,55
2.07,109.80,43,50
7.69,140.46,40,45
1.34,151.42,36,40
3.46,139.05,37,43
1.34,156.40,42,48
9.15,83.04,34,42
6.68,155.59,39,53
1.59,125.92,44,50
1.52,181.19,43,52
1.62,136.68,34,48
1.00,132.82,47,62
1.39,276.97,55,63
5.39,196.02,52,64
5.27,200.08,47,59
1.00,96.53,42,50
1.02,215.92,57,73
2.50,215.36,66,74
1.65,253.93,65,70
1.58,180.33,55,63
1.45,197.00,52,58
1.44,145.01,53,62
2.98,119.51,53,62
11.01,188.68,47,54
1.44,103.87,35,39
1.08,117.22,42,49
5.16,183.95,51,70
2.51,131.77,41,50
1.52,116.72,46,48
1.61,109.76,36,39
1.41,146.08,37,40
1.26,149.85,43,53
1.96,130.17,39,47
3.30,125.63,40,48
2.86,151.60,44,53
1.11,134.86,38,42
56.08,146.15,43,46
2.36,131.69,37,41
2.74,139.86,37,42
1.90,128.24,40,44
3.45,131.47,39,45
1.29,83.86,46,51
1.30,107.94,40,41
2.24,104.91,51,57
2.69,254.93,55,65
20.62,109.57,51,55
1.08,159.89,49,59
1.14,145.13,64,73
2.86,274.64,96,103
6360.92,221.84,81,88
2.61,157.45,57,64
1.24,95.98,53,55
1.33,174.54,55,65
4.42,150.46,55,57
10.20,134.70,57,62
3.42,149.66,48,54
1.40,136.67,47,56
1.19,155.99,53,66
1.57,190.61,67,77
4.28,121.24,73,78
2.64,175.59,72,77
2.76,214.69,71,76
2.18,143.68,65,73
1.06,178.08,69,76
1.03,225.05,60,68
2.16,300.68,82,93
1.97,247.93,80,93
53.55,262.01,89,106
2.09,132.89,45,54
1.29,153.16,53,57
1.51,147.26,49,58
11.05,167.55,61,66
10.01,159.46,46,49
2.00,128.06,51,59
6.64,157.65,46,55
1.29,171.96,43,50
1.11,152.80,50,61
1.24,227.95,63,68
1.22,129.95,68,76
8.45,244.69,78,88
2.25,314.17,63,70
2.14,181.60,54,61
11.10,154.62,57,66
1.09,229.13,48,58
1.13,165.46,52,58
1.95,452.40,83,89
1.39,276.50,87,99
1.65,525.57,80,89
1.57,200.34,70,78
1.31,320.10,76,92
1.43,508.94,66,77
1.01,243.13,68,78
1.92,276.54,73,80
1.32,677.99,84,99
1.06,325.81,59,66
2.10,683.79,73,83
2.26,349.74,73,85
1.04,271.45,77,84
2.36,245.81,74,85
2.86,257.23,70,84
21.84,180.72,53,63
5.70,286.28,52,65
2.15,151.44,46,51
1.42,246.14,38,44
1.22,146.02,31,35
1.91,154.24,47,53
1.27,166.19,43,48
41.85,232.24,50,57
5.44,138.43,43,47
1.00,188.56,44,51
1.43,208.90,57,65
1.31,242.97,63,67
1.28,168.89,67,85
1.39,305.99,71,86
1.68,150.62,63,72
11.12,318.16,59,73
13.16,182.62,54,57
1.16,235.43,52,58
1.01,160.16,53,57
2.85,321.09,90,104
5.79,230.87,95,98
1.48,209.86,73,84
7.15,205.93,69,73
9.88,260.93,60,73
1.38,123.43,52,63
2.25,297.25,66,81
2.92,100.21,56,62
1.01,208.80,66,72
2.71,208.16,60,68
1.09,279.37,79,93
1.30,246.85,85,104
1.49,337.68,84,97
1.32,239.39,83,93
1.01,265.21,88,105
29.67,358.52,104,120
2.74,296.14,96,109
9.72,153.71,77,82
1.33,203.43,73,84
1.30,202.02,71,87
2.98,196.57,75,85
6.55,139.17,63,73
1.30,208.49,76,80
5.73,127.68,58,64
4.82,226.88,70,76
1.67,156.62,60,69
1.21,179.62,63,72
1.22,174.47,58,64
123.87,177.39,69,80
1.90,166.25,61,84
1.00,192.49,59,63
20.92,189.50,73,95
1.29,224.35,73,86
2.90,126.18,59,72
1.50,206.45,73,78
1.25,163.54,69,80
7.55,277.37,78,98
10.71,115.05,53,64
1.03,151.72,40,49
2.37,174.57,58,68
11.91,199.66,59,70
1.46,106.85,58,59
1.00,229.97,64,71
1.06,219.33,81,89
3.26,380.45,102,111
5.18,246.40,90,112
1.58,186.08,67,71
1.54,169.83,74,84
2.30,273.47,74,83
3.06,132.75,69,74
3.46,197.94,62,75
1.89,145.72,60,70
2.14,162.67,65,73
2.06,142.06,55,64
2.83,165.48,49,55
8.89,139.37,58,63
1.76,127.15,54,61
1.00,197.65,53,61
1.08,233.33,63,73
5.49,273.47,96,129
2.03,255.67,91,99
5.45,258.85,86,92
1.05,178.41,68,76
1.02,184.38,70,75
1.29,377.39,113,138
1.89,268.77,89,104
1.82,265.01,99,122
1.08,177.30,81,89
1.26,308.90,88,109
1.46,239.38,80,97
1.47,214.84,83,88
1.40,184.20,66,85
1.31,161.93,76,92
1.81,183.72,56,65
2.67,180.40,73,86
2.07,176.58,49,65
2.00,162.46,44,48
1.03,130.31,46,48
15.99,245.64,62,69
3.37,110.11,54,64
2.12,129.82,46,51
79.86,165.32,50,57
2.04,147.12,43,49
1.01,145.15,49,55
1.04,184.40,53,59
1.01,279.55,91,121
3.48,516.32,102,147
1.42,246.77,75,84
1.01,236.93,76,83
1.02,244.18,69,75
35.51,465.54,76,101
1.23,197.96,63,79
2.55,258.72,64,80
1.02,119.05,48,49
2.83,202.09,54,68
2.40,161.04,63,71
1.03,154.19,48,52
16.63,187.45,61,72
2.95,208.43,53,62
1.01,106.50,41,42
11.86,169.19,66,73
3.49,154.10,60,66
1.25,119.25,48,57
6.50,127.76,57,66
14.86,145.37,48,55
1.10,98.00,41,45
1.34,144.21,50,54
1.34,139.42,57,65
1.30,169.14,52,58
1.27,139.22,52,61
6.21,134.10,53,64
2.21,143.46,46,52
2.73,166.17,47,54
4.92,126.14,39,49
18.13,186.00,43,45
2.37,77.65,36,41
2.35,91.48,39,48
1.22,140.80,45,54
1.99,131.88,36,42
1.02,119.96,47,56
1.21,206.45,53,64
1.37,158.11,52,63
1.01,197.37,66,86
1.08,226.14,61,71
2.19,317.15,72,83
1.08,228.75,64,77
21.63,277.78,62,71
1.09,162.57,56,61
3.43,268.18,65,71
3.00,164.58,50,54
3.07,135.76,51,61
1.01,179.16,44,49
7.91,209.67,56,68
1.00,206.52,49,57
1.86,262.34,64,72
1.27,133.18,55,62
1.02,221.61,57,61
1.78,299.34,61,67
1.05,283.03,65,77
7.48,261.88,61,67
4.86,147.51,54,56
2.10,181.82,50,57
1.36,224.55,51,56
6.55,137.44,42,44
2.30,142.40,45,53
1.23,144.53,37,45
1.76,179.96,40,50
1.21,167.57,52,65
2.83,150.35,46,51
2.17,141.50,46,53
1.32,157.30,40,49
98.91,147.61,39,46
1.03,159.90,44,52
1.32,299.57,59,70
2.79,152.56,59,71
5.85,217.84,47,52
3.16,136.31,45,55
13.16,208.10,52,59
1.68,137.36,45,53
1.87,193.72,37,44
1.20,155.47,45,54
71.84,158.25,49,55
1.20,170.60,41,54
3.54,185.49,52,66
2.57,117.68,41,54
2.38,183.34,49,66
1.55,171.82,59,75
1.78,162.65,44,63
30.43,164.34,51,64
2.46,176.20,42,54
1.27,108.44,40,51
1.37,157.27,51,66
1.33,213.48,59,70
3.04,194.79,55,75
93.84,128.39,48,70
2.54,191.36,48,53
8.55,128.92,44,47
1.29,206.10,56,68
2.01,125.96,45,52
60.08,204.54,48,56
2.99,147.73,46,52
1.20,196.26,42,53
1.17,200.40,51,61
1.46,228.36,62,73
2.43,171.44,63,77
2.44,246.12,71,82
7.56,128.89,66,72
1.59,213.51,72,78
1.35,118.57,59,74
1.01,220.57,77,93
1.87,313.72,86,102
1.21,218.23,83,90
3.16,191.42,78,91
1.62,188.27,72,81
1.58,165.42,71,79
61.73,200.46,67,80
5.88,213.43,62,67
1.50,164.91,61,69
9.64,132.79,50,53
1.10,219.57,65,68
10.42,225.90,70,72
1.81,204.27,68,71
15.36,192.79,68,79
6.39,206.37,65,72
1.15,172.72,62,86
1.57,241.57,83,97
50.37,296.59,89,103
1.07,187.25,85,101
1.01,219.34,82,98
1.01,353.43,124,153
3.47,531.30,121,162
1.01,285.59,98,113
2.44,363.01,91,109
35.79,355.54,97,122
1.31,255.59,74,81
1.00,359.89,92,105
1.51,384.94,93,111
2.87,279.18,86,103
2.26,258.72,77,100
2.27,189.17,66,79
3.06,200.09,62,77
3.45,152.52,54,58
1.05,165.89,60,71
1.00,221.62,63,76
2.34,366.76,97,123
1.02,146.64,71,80
1.21,279.52,90,115
2.65,261.25,76,89
3.43,220.74,73,79
3.27,121.00,59,70
2.43,144.39,50,55
1.00,121.42,50,67
2.07,231.03,62,75
1.02,145.75,57,67
2.58,299.78,79,108
1.00,114.01,50,60
2.47,476.54,95,115
2.74,207.12,80,87
1.33,204.26,75,88
1.08,155.19,75,88
1.33,358.45,84,100
2.03,161.32,70,78
3.33,221.40,74,79
1.41,102.79,50,51
5.69,180.47,59,74
3.28,146.76,53,61
9.40,144.88,48,51
1.46,119.15,43,51
1.30,175.24,49,60
40.24,112.63,44,50
3.16,183.68,48,55
1.06,95.80,45,51
1.94,175.87,64,77
59.74,200.88,69,77
1.48,161.38,50,57
1.81,147.07,54,69
12.12,198.17,64,74
9.97,174.85,41,43
2.79,147.34,49,56
2.36,176.85,54,61
3.17,139.96,46,53
1.60,152.64,44,52
1.00,129.58,53,61
2.83,222.49,68,80
5.15,195.07,70,80
1.09,139.49,60,65
1.01,216.90,79,91
1.02,286.82,83,98
1.40,433.25,104,126
1.29,294.42,90,121
19.08,269.92,82,104
4.66,244.60,68,73
1.17,188.26,59,70
3.47,180.40,73,83
1.31,278.83,72,84
2.96,215.29,78,91
1.02,239.18,63,74
53.52,253.21,71,83
1.04,209.07,56,64
1.33,262.19,84,101
1.20,253.57,69,94
1.39,304.48,81,96
1.03,230.64,78,92
78.26,251.68,73,97
1.01,197.75,65,85
1.27,288.94,80,97
1.01,317.27,75,89
1.21,418.15,80,102
3.74,427.00,68,98
1.22,285.56,64,75
1.03,285.99,61,66
1.73,247.74,65,71
5.57,167.18,55,60
1.14,267.89,67,78
1.03,305.71,65,80
3.07,539.90,94,119
8.25,274.89,65,83
19.66,293.17,110,126
1.00,261.88,111,131
1.01,260.58,123,134
1.23,322.10,125,142
8.94,371.07,124,143
1.80,277.98,93,106
1.66,335.11,96,110
1.34,277.09,84,91
1.43,322.47,87,107
3.36,336.86,94,119
2.34,335.01,89,99
5.46,292.72,77,91
1.53,250.28,86,101
1.02,263.22,65,79
39.53,315.03,104,125
1.09,311.61,88,101
2.18,334.34,92,111
1.40,320.64,90,106
1.22,235.60,77,87
2.42,272.34,88,102
1.00,298.86,78,95
1.76,356.92,82,92
2.73,311.02,78,93
2.06,275.10,62,82
3.21,293.26,78,98
1.04,319.53,60,76
8.12,299.07,67,82
1.55,271.68,67,80
2.31,280.70,78,91
1.23,263.82,57,76
2.82,286.71,78,92
3.30,338.54,57,68
3.23,292.82,56,72
1.82,272.73,68,74
1.35,287.63,63,82
1.06,297.96,74,90
2.71,352.40,102,126
2.50,337.57,87,98
1.75,285.94,77,83
12.64,315.47,73,86
1.43,257.67,64,71
1.09,276.39,65,84
1.25,302.85,89,103
1.40,257.96,81,90
1.43,368.05,83,98
3.42,276.94,76,83
1.28,293.08,65,76
1.08,261.40,59,73
1.37,292.18,77,98
1.64,294.33,73,82
1.55,234.10,68,73
1.67,232.90,77,92
2.18,270.08,60,66
1.48,238.12,55,67
10.73,228.04,50,57
3.03,212.87,49,60
1.33,228.98,41,54
1.10,204.69,53,58
1.48,226.59,62,75
1.09,234.55,65,77
3.17,312.29,84,97
2.30,192.00,56,66
1.84,211.65,56,63
1.25,215.53,57,68
1.35,190.35,56,67
23.53,253.11,62,69
2.92,197.57,53,60
1.14,202.14,48,58
1.46,225.81,65,78
1.79,267.68,68,79
2.50,199.27,69,79
1.78,223.34,65,80
1.96,218.85,56,63
1.21,146.62,58,65
2.37,192.89,62,72
3.45,174.26,55,62
2.79,190.23,47,60
1.15,131.41,53,59
2.22,180.52,59,66
1.02,124.13,55,60
1.03,272.45,70,79
1.20,223.86,81,100
1.39,287.96,76,96
1.31,180.32,75,82
1.27,216.13,64,76
2.67,145.70,68,81
12.75,259.74,62,72
1.31,86.92,50,55
1.05,225.69,58,68
3.04,125.20,58,66
3.24,215.79,64,73
1.10,70.06,46,49
2.42,256.44,61,73
1.80,68.75,56,64
1.27,247.04,64,74
3.13,152.28,58,65
1.35,173.09,57,70
1.08,110.92,55,64
9.15,254.42,73,90
1.28,133.84,54,62
1.05,254.07,57,60
2.87,207.81,75,93
2.11,240.72,78,88
1.46,80.82,61,71
4.79,207.84,67,78
1.28,73.69,42,46
1.09,209.66,72,89
1.21,106.13,65,75
1.04,259.73,79,94
5.58,191.86,77,89
7.21,181.67,66,70
1.26,118.37,51,59
2.87,211.42,53,61
1.92,91.39,46,51
2.69,166.32,52,57
1.71,62.62,44,52
1.05,193.79,49,60
2.97,120.89,66,84
2.77,175.09,56,69
1.07,75.63,55,60
1.32,266.28,74,89
1.40,138.19,59,70
1.39,227.08,57,68
4.68,110.47,59,70
5.58,162.20,67,76
